,DISTRICT,STREET ID,STREET NAME,SEC ID,BEG LOCATION,END LOCATION,AREA (SqFt),PCI DATE,PCI,Last MnR Date,Last MnR Treatment,Renovation Age (Years),Last Work Year,Treatment Category,Functional Classification,Length (feet),Width (feet),Surface
830491050,['4'],830491,ROOSEVELT AVE,050,ADDISON ST,CHANNING WAY,83790,2022-07-27,23,1998-12-08,MILL AND THIN OVERLAY,23.0,1998.0,2 - Light Rehab,Residential/Local,1995,42,Overlay of asphalt over asphalt
830491058,['4'],830491,ROOSEVELT AVE,058,CHANNING WAY,DWIGHT WAY,27720,2022-07-11,87,2020-10-30,SLURRY SEAL,1.0,2020.0,0 - Light Maintenance,Residential/Local,660,42,Asphalt
319492040,['1'],319492,ROSE ST,040,HOPKINS ST,CHESTNUT ST,25308,2022-07-19,88,2016-10-10,MILL AND OVERLAY,5.0,2016.0,3 - Heavy Rehab,Residential/Local,703,36,Overlay of asphalt over asphalt
319492044,['1'],319492,ROSE ST,044,CHESTNUT ST,ORDWAY ST,23580,2022-07-14,89,2016-10-10,MILL AND OVERLAY,5.0,2016.0,3 - Heavy Rehab,Residential/Local,655,36,Overlay of asphalt over asphalt
319492045,['1'],319492,ROSE ST,045,ORDWAY ST,SACRAMENTO ST,45000,2022-07-14,91,2016-10-10,MILL AND OVERLAY,5.0,2016.0,3 - Heavy Rehab,Residential/Local,1250,36,Overlay of asphalt over asphalt
418492050,['5'],418492,ROSE ST,050,SACRAMENTO ST,MARTIN LUTHER KING JR WAY,92124,2022-07-14,19,1991-08-01,MILL AND OVERLAY W/FABRIC,30.0,1991.0,3 - Heavy Rehab,Collector,2559,36,Overlay of asphalt over asphalt
517492063,['5'],517492,ROSE ST,063,MILVIA ST,SHATTUCK AVE,27000,2022-07-14,84,2015-11-20,MILL AND OVERLAY,6.0,2015.0,3 - Heavy Rehab,Collector,675,40,Overlay of asphalt over asphalt
517492065,['5'],517492,ROSE ST,065,SHATTUCK AVE,SPRUCE ST,34020,2022-07-14,83,2016-04-04,CONCRETE REPAIR,6.0,2016.0,0 - Light Maintenance,Collector,945,36,Portland cement
516492070,['6'],516492,ROSE ST,070,SPRUCE ST,ARCH ST,11340,2022-07-07,84,2010-06-30,RECONSTRUCT STRUCTURE (AC),12.0,2010.0,4 - Reconstruct,Residential/Local,315,36,Asphalt
516492072,['6'],516492,ROSE ST,072,ARCH ST,SCENIC AVE,10920,2022-07-07,85,,,,,,Residential/Local,455,24,Asphalt
516492075,['6'],516492,ROSE ST,075,LE ROY AVE,EAST END,14940,2022-07-07,94,2020-10-28,MILL AND OVERLAY,1.0,2020.0,3 - Heavy Rehab,Residential/Local,830,18,Overlay of asphalt over asphalt
111494070,['6'],111494,ROSEMONT AVE,070,CRESTON RD,VISTAMONT AVE,12960,2022-07-08,37,2000-10-20,RECONSTRUCT SURFACE (AC),21.0,2000.0,4 - Reconstruct,Residential/Local,540,24,Asphalt
638495080,['8'],638495,ROSLYN CT,080,THE SOUTH CROSSWAYS,CHABOLYN TERRACE,3000,2022-07-28,84,2015-11-04,RECONSTRUCT,6.0,2015.0,4 - Reconstruct,Residential/Local,150,20,Asphalt
112496010,['5'],112496,RUGBY AVE,010,NORTH CITY LIMIT (VERMONT),VERMONT AVE,5250,2022-07-18,95,2019-07-03,RECONSTRUCT SURFACE (AC),3.0,2019.0,4 - Reconstruct,Residential/Local,210,25,Asphalt
933497040,['2'],933497,RUSSELL ST,040,SAN PABLO AVE,PARK ST,44280,2022-07-12,29,1991-09-01,MILL AND OVERLAY W/FABRIC,30.0,1991.0,3 - Heavy Rehab,Residential/Local,1230,36,Overlay of asphalt over asphalt
933497045,['2'],933497,RUSSELL ST,045,PARK ST,SACRAMENTO ST,36756,2022-07-12,25,1993-08-01,MILL AND OVERLAY W/FABRIC,28.0,1993.0,3 - Heavy Rehab,Residential/Local,1021,36,Overlay of asphalt over asphalt
834497050,['3'],834497,RUSSELL ST,050,SACRAMENTO ST,MARTIN LUTHER KING JR WAY,85500,2022-07-11,87,2015-11-18,MILL AND OVERLAY,6.0,2015.0,3 - Heavy Rehab,Residential/Local,2375,36,Overlay of asphalt over asphalt
835497060,['3'],835497,RUSSELL ST,060,MARTIN LUTHER KING JR WAY,MILVIA ST,25740,2022-07-11,71,2016-06-15,SLURRY SEAL,6.0,2016.0,0 - Light Maintenance,Residential/Local,715,36,Overlay of asphalt over asphalt
735497061,['3'],735497,RUSSELL ST,061,MILVIA ST,ADELINE ST,4140,2022-07-11,97,2016-06-15,SLURRY SEAL,6.0,2016.0,0 - Light Maintenance,Residential/Local,115,36,Overlay of asphalt over asphalt
735497062,['3'],735497,RUSSELL ST,062,ADELINE ST,SHATTUCK AVE,16740,2022-07-11,40,1992-03-01,THIN AC OVERLAY(1.5 INCHES),30.0,1992.0,1 - Heavy Maintenance,Residential/Local,465,36,Overlay of asphalt over asphalt
735497063,['3'],735497,RUSSELL ST,063,SHATTUCK AVE,FULTON ST,30780,2022-07-11,30,1998-12-08,MILL AND OVERLAY W/FABRIC,23.0,1998.0,3 - Heavy Rehab,Residential/Local,855,36,Overlay of asphalt over asphalt
736497070,['3'],736497,RUSSELL ST,070,FULTON ST,TELEGRAPH AVE,45540,2022-07-11,29,1998-12-08,MILL AND OVERLAY W/FABRIC,23.0,1998.0,3 - Heavy Rehab,Residential/Local,1265,36,Overlay of asphalt over asphalt
736497075,['8'],736497,RUSSELL ST,075,TELEGRAPH AVE,HILLEGASS AVE,39375,2022-07-29,67,2016-06-15,SLURRY SEAL,6.0,2016.0,0 - Light Maintenance,Residential/Local,1125,35,Overlay of asphalt over asphalt
636497076,['8'],636497,RUSSELL ST,076,HILLEGASS AVE,BENVENUE AVE,12600,2022-07-29,70,2016-06-15,SLURRY SEAL,6.0,2016.0,0 - Light Maintenance,Residential/Local,360,35,Overlay of asphalt over asphalt
636497077,['8'],636497,RUSSELL ST,077,BENVENUE AVE,COLLEGE AVE,12600,2022-07-29,91,2015-10-27,MILL AND OVERLAY,6.0,2015.0,3 - Heavy Rehab,Residential/Local,360,35,Overlay of asphalt over asphalt
637497080,['8'],637497,RUSSELL ST,080,COLLEGE AVE,PIEDMONT AVE,21060,2022-07-29,56,2002-07-31,RECONSTRUCT STRUCTURE (AC),19.0,2002.0,4 - Reconstruct,Residential/Local,585,36,Asphalt
637497085,['8'],637497,RUSSELL ST,085,PIEDMONT AVE,CLAREMONT BLVD,57240,2022-07-29,67,,,,,,Residential/Local,1590,36,Asphalt
637497088,['8'],637497,RUSSELL ST,088,CLAREMONT BLVD,EAST CITY LIMIT (DOMINGO AVE),4860,2022-07-29,35,1996-08-01,MILL AND OVERLAY W/FABRIC,25.0,1996.0,3 - Heavy Rehab,Residential/Local,135,36,Overlay of asphalt over asphalt
418510030,"['1', '5']",418510,SACRAMENTO ST,030,HOPKINS ST,ROSE ST,28404,2022-07-18,59,1989-12-01,RECONSTRUCT STRUCTURE (AC),32.0,1989.0,4 - Reconstruct,Arterial,789,36,Asphalt
418510034,"['1', '5']",418510,SACRAMENTO ST,034,ROSE ST,CEDAR ST,55770,2022-07-21,60,2008-08-26,MILL AND THICK OVERLAY,13.0,2008.0,3 - Heavy Rehab,Arterial,845,66,Overlay of asphalt over asphalt
423510035,['1'],423510,SACRAMENTO ST,035,CEDAR ST,VIRGINIA ST,44880,2022-07-21,44,2008-08-26,MILL AND THICK OVERLAY,13.0,2008.0,3 - Heavy Rehab,Arterial,660,68,Overlay of asphalt over asphalt
423510040,['1'],423510,SACRAMENTO ST,040,VIRGINIA ST,UNIVERSITY AVE,126960,2022-07-21,84,2015-08-14,MILL AND OVERLAY,6.0,2015.0,3 - Heavy Rehab,Arterial,1587,80,Overlay of asphalt over asphalt
830510050,"['2', '4']",830510,SACRAMENTO ST,050,UNIVERSITY AVE,DWIGHT WAY,168056,2022-07-21,69,2011-12-02,MILL AND THICK OVERLAY,10.0,2011.0,3 - Heavy Rehab,Arterial,3001,56,Overlay of asphalt over asphalt
834510064,"['2', '3']",834510,SACRAMENTO ST,064,OREGON ST,ASHBY AVE,64323,2022-07-13,86,2011-11-21,RECONSTRUCT STRUCTURE (AC),10.0,2011.0,4 - Reconstruct,Arterial,1021,63,Asphalt
840510070,"['2', '3']",840510,SACRAMENTO ST,070,ASHBY AVE,SOUTH CITY LIMIT (ALCATRAZ),138496,2022-07-13,84,2013-06-26,MILL AND OVERLAY,9.0,2013.0,3 - Heavy Rehab,Arterial,2164,64,Overlay of asphalt over asphalt
834510062,['3'],834510,SACRAMENTO ST (NB),062,OREGON ST,DWIGHT WAY,76230,2022-07-12,82,2011-11-21,RECONSTRUCT STRUCTURE (AC),10.0,2011.0,4 - Reconstruct,Arterial,2310,33,Asphalt
834510060,['2'],834510,SACRAMENTO ST (SB),060,DWIGHT WAY,OREGON ST,73920,2022-07-12,75,2011-11-21,RECONSTRUCT STRUCTURE (AC),10.0,2011.0,4 - Reconstruct,Arterial,2310,32,Asphalt
212511060,['5'],212511,SAN ANTONIO AVE,060,SAN RAMON AVE & THE ALAMEDA,ARLINGTON AVE,20760,2022-07-18,67,2002-09-13,RECONSTRUCT STRUCTURE (AC),19.0,2002.0,4 - Reconstruct,Residential/Local,865,24,Asphalt
112511062,['5'],112511,SAN ANTONIO AVE,062,ARLINGTON AVE,300 FT +/- EAST OF AVIS RD,8925,2022-07-18,32,1997-07-10,MILL AND THICK OVERLAY,25.0,1997.0,3 - Heavy Rehab,Residential/Local,525,17,Overlay of asphalt over asphalt
112513010,['5'],112513,SAN DIEGO RD,010,SOUTHAMPTON AVE,INDIAN ROCK AVE,35150,2022-07-18,50,2000-06-09,RECONSTRUCT SURFACE (AC),22.0,2000.0,4 - Reconstruct,Residential/Local,1850,19,Asphalt
212514010,['5'],212514,SAN FERNANDO AVE,010,ARLINGTON AVE,YOSEMITE RD,25320,2022-07-18,84,2012-08-08,RECONSTRUCT STRUCTURE (AC),9.0,2012.0,4 - Reconstruct,Residential/Local,1055,24,Asphalt
212515060,['5'],212515,SAN JUAN AVE,060,SANTA CLARA AVE,SAN FERNANDO AVE,21600,2022-07-18,87,2012-08-03,MILL AND THIN OVERLAY,9.0,2012.0,2 - Light Rehab,Residential/Local,900,24,Overlay of asphalt over asphalt
213516050,['5'],213516,SAN LORENZO AVE,050,WEST CITY LIMIT (NEILSON),PERALTA AVE,9620,2022-07-19,66,1989-12-01,RECONSTRUCT SURFACE (AC),32.0,1989.0,4 - Reconstruct,Residential/Local,370,26,Asphalt
213516052,['5'],213516,SAN LORENZO AVE,052,PERALTA AVE,THE ALAMEDA,55770,2022-07-19,51,1999-09-08,RECONSTRUCT STRUCTURE (AC),22.0,1999.0,4 - Reconstruct,Residential/Local,2145,26,Asphalt
112517010,['5'],112517,SAN LUIS RD,010,ARLINGTON AVE,INDIAN ROCK AVE,75460,2022-07-18,59,1997-07-08,RECONSTRUCT STRUCTURE (AC),25.0,1997.0,4 - Reconstruct,Residential/Local,3430,22,Asphalt
112518010,['5'],112518,SAN MATEO RD,010,DEAD END (CUL-DE-SAC),INDIAN ROCK AVE,18720,2022-07-18,15,1998-08-10,MILL AND OVERLAY W/FABRIC,23.0,1998.0,3 - Heavy Rehab,Residential/Local,780,24,Overlay of asphalt over asphalt
213519010,['5'],213519,SAN MIGUEL AVE,010,THOUSAND OAKS BLVD,SANTA ROSA AVE,10340,2022-07-19,82,2014-07-25,RECONSTRUCT STRUCTURE (AC),7.0,2014.0,4 - Reconstruct,Residential/Local,470,22,Asphalt
213521050,['5'],213521,SAN PEDRO AVE,050,COLUSA AVE,THE ALAMEDA,27300,2022-07-19,76,2017-12-01,SLURRY SEAL,4.0,2017.0,0 - Light Maintenance,Residential/Local,1050,26,Asphalt
212522060,['5'],212522,SAN RAMON AVE,060,SAN ANTONIO AVE & THE ALAMEDA,SAN FERNANDO AVE,25440,2022-07-18,33,2000-06-12,RECONSTRUCT SURFACE (AC),22.0,2000.0,4 - Reconstruct,Residential/Local,1060,24,Asphalt
112523010,['5'],112523,SANTA BARBARA RD,010,ARLINGTON AVE,FLORIDA AVE,27040,2022-07-18,35,1995-06-01,MILL AND OVERLAY W/FABRIC,27.0,1995.0,3 - Heavy Rehab,Residential/Local,1040,26,Overlay of asphalt over asphalt
112523012,['5'],112523,SANTA BARBARA RD,012,FLORIDA AVE,MARIN AVE,84500,2022-07-18,61,1997-07-07,RECONSTRUCT STRUCTURE (AC),25.0,1997.0,4 - Reconstruct,Residential/Local,3250,26,Asphalt
114523020,['5'],114523,SANTA BARBARA RD,020,MARIN AVE,SPRUCE ST,12240,2022-07-18,55,1994-10-01,RECONSTRUCT STRUCTURE (AC),27.0,1994.0,4 - Reconstruct,Residential/Local,510,24,Asphalt
115523025,['6'],115523,SANTA BARBARA RD,025,SPRUCE ST,CRAGMONT AVE,14520,2022-07-18,18,1992-10-01,RECONSTRUCT STRUCTURE (AC),29.0,1992.0,4 - Reconstruct,Residential/Local,605,24,Asphalt
212524010,['5'],212524,SANTA CLARA AVE,010,SAN RAMON AVE,THOUSAND OAKS BLVD,20880,2022-07-18,88,2012-08-08,RECONSTRUCT STRUCTURE (AC),9.0,2012.0,4 - Reconstruct,Residential/Local,870,24,Asphalt
319525030,['1'],319525,SANTA FE AVE,030,NORTH CITY LIMIT,GILMAN ST,17610,2022-07-21,91,2020-10-30,SLURRY SEAL,1.0,2020.0,0 - Light Maintenance,Residential/Local,587,30,Overlay of asphalt over asphalt
319525035,['1'],319525,SANTA FE AVE,035,GILMAN ST,CORNELL AVE & PAGE ST,44950,2022-07-21,96,2020-10-23,MILL AND OVERLAY,1.0,2020.0,3 - Heavy Rehab,Residential/Local,1450,31,Overlay of asphalt over asphalt
213526015,['5'],213526,SANTA ROSA AVE,015,MENLO PLACE,THOUSAND OAKS BLVD,10010,2022-07-19,81,2014-07-25,RECONSTRUCT STRUCTURE (AC),7.0,2014.0,4 - Reconstruct,Residential/Local,455,22,Asphalt
213526020,['5'],213526,SANTA ROSA AVE,020,THOUSAND OAKS BLVD,SAN LORENZO AVE,30720,2022-07-19,81,2014-07-25,MILL AND OVERLAY,7.0,2014.0,3 - Heavy Rehab,Residential/Local,1280,24,Overlay of asphalt over asphalt
516527030,['6'],516527,SCENIC AVE,030,BAYVIEW PL/ ROSE ST,VINE ST,24720,2022-07-06,60,2010-06-30,RECONSTRUCT STRUCTURE (AC),12.0,2010.0,4 - Reconstruct,Residential/Local,1030,24,Asphalt
516527035,['6'],516527,SCENIC AVE,035,VINE ST,CEDAR ST,23220,2022-07-06,77,2010-06-30,MILL AND THIN OVERLAY,12.0,2010.0,2 - Light Rehab,Residential/Local,645,36,Overlay of asphalt over asphalt
525527040,['6'],525527,SCENIC AVE,040,CEDAR ST,HEARST AVE,57600,2022-07-06,17,,,,,,Residential/Local,1600,36,Asphalt
320568010,['2'],320568,SEAWALL DR,010,NORTH END,UNIVERSITY AVE,37800,2022-07-14,16,1994-10-01,MILL AND OVERLAY W/FABRIC,27.0,1994.0,3 - Heavy Rehab,Residential/Local,1350,28,Overlay of asphalt over asphalt
920568020,['2'],920568,SEAWALL DR,020,UNIVERSITY AVE,SOUTH END,34100,2022-07-14,17,1994-10-01,MILL AND OVERLAY W/FABRIC,27.0,1994.0,3 - Heavy Rehab,Residential/Local,1100,31,Overlay of asphalt over asphalt
516529080,['6'],516529,SENIOR AVE,080,FAIRLAWN DR,GRIZZLY PEAK BLVD,16800,2022-07-07,26,1995-06-01,MILL AND OVERLAY W/FABRIC,27.0,1995.0,3 - Heavy Rehab,Residential/Local,700,24,Overlay of asphalt over asphalt
516532070,['6'],516532,SHASTA RD,070,TAMALPAIS RD AND ROSE ST,TAMALPAIS RD,33880,2022-07-07,49,1995-06-01,MILL AND OVERLAY W/FABRIC,27.0,1995.0,3 - Heavy Rehab,Residential/Local,1540,22,Overlay of asphalt over asphalt
115532072,['6'],115532,SHASTA RD,072,TAMALPAIS RD,KEITH AVE,11300,2022-07-07,50,1995-06-01,MILL AND OVERLAY W/FABRIC,27.0,1995.0,3 - Heavy Rehab,Residential/Local,565,20,Overlay of asphalt over asphalt
115532073,['6'],115532,SHASTA RD,073,KEITH AVE,CRAGMONT AVE,24000,2022-07-07,50,1986-11-01,THICK OVERLAY W/FABRIC,35.0,1986.0,3 - Heavy Rehab,Collector,1000,24,Overlay of asphalt over asphalt
115532074,['6'],115532,SHASTA RD,074,CRAGMONT AVE,KEELER AVE,17000,2022-07-07,72,2016-06-15,SLURRY SEAL,6.0,2016.0,0 - Light Maintenance,Collector,680,25,Overlay of asphalt over asphalt
115532075,['6'],115532,SHASTA RD,075,KEELER AVE,QUEENS RD,31560,2022-07-07,87,2014-07-09,MILL AND OVERLAY,8.0,2014.0,3 - Heavy Rehab,Collector,1315,24,Overlay of asphalt over asphalt
115532076,['6'],115532,SHASTA RD,076,QUEENS RD,GRIZZLY PEAK BLVD,28250,2022-07-07,74,2014-07-09,MILL AND OVERLAY,8.0,2014.0,3 - Heavy Rehab,Collector,1130,25,Overlay of asphalt over asphalt
115532077,['6'],115532,SHASTA RD,077,GRIZZLY PEAK BLVD,PARK GATE,7250,2022-07-07,94,2020-10-20,MILL AND THICK OVERLAY,1.0,2020.0,3 - Heavy Rehab,Collector,250,29,Overlay of asphalt over asphalt
115532079,['6'],115532,SHASTA RD,079,PARK GATE,EAST CITY LIMIT (GOLF COURSE),11300,2022-07-07,96,2020-10-20,RECONSTRUCT STRUCTURE (AC),1.0,2020.0,4 - Reconstruct,Collector,565,20,Asphalt
114533020,['5'],114533,SHATTUCK AVE,020,MARIN AVE,LOS ANGELES AVE,22800,2022-07-14,79,2003-11-06,RECONSTRUCT STRUCTURE (AC),18.0,2003.0,4 - Reconstruct,Residential/Local,950,24,Asphalt
114533025,['5'],114533,SHATTUCK AVE,025,LOS ANGELES AVE,EUNICE ST,47700,2022-07-14,77,2003-11-06,RECONSTRUCT STRUCTURE (AC),18.0,2003.0,4 - Reconstruct,Residential/Local,1590,30,Asphalt
517533030,['5'],517533,SHATTUCK AVE,030,EUNICE ST,ROSE ST,53400,2022-07-14,44,2006-05-17,RECONSTRUCT STRUCTURE (AC),16.0,2006.0,4 - Reconstruct,Residential/Local,1335,40,Asphalt
517533036,['5'],517533,SHATTUCK AVE,036,ROSE ST,VINE ST,39600,2022-07-14,29,1996-10-01,RECONSTRUCT STRUCTURE (AC),25.0,1996.0,4 - Reconstruct,Arterial,660,60,Asphalt
517533038,['5'],517533,SHATTUCK AVE,038,VINE ST,CEDAR ST,39600,2022-07-14,21,1996-10-01,RECONSTRUCT SURFACE (AC),25.0,1996.0,4 - Reconstruct,Arterial,660,60,Asphalt
524533040,['4'],524533,SHATTUCK AVE,040,CEDAR ST,HEARST AVE,100200,2022-07-28,22,1996-10-01,RECONSTRUCT SURFACE (AC),25.0,1996.0,4 - Reconstruct,Arterial,1670,60,Asphalt
524533048,['4'],524533,SHATTUCK AVE,048,HEARST AVE,UNIVERSITY AVE,37200,2022-07-28,29,1996-10-01,RECONSTRUCT STRUCTURE (AC),25.0,1996.0,4 - Reconstruct,Arterial,620,60,Asphalt
729533050,['4'],729533,SHATTUCK AVE,050,ALLSTON WAY,DWIGHT WAY,95040,2022-07-12,48,1994-07-01,MILL AND OVERLAY W/FABRIC,28.0,1994.0,3 - Heavy Rehab,Arterial,1980,48,Overlay of asphalt over asphalt
729533055,['4'],729533,SHATTUCK AVE,055,CENTER ST,ALLSTON WAY,23460,2022-07-28,97,2020-06-11,RECONSTRUCT SURFACE (AC),2.0,2020.0,4 - Reconstruct,Arterial,340,69,Asphalt
735533060,['3'],735533,SHATTUCK AVE,060,DWIGHT WAY,WARD ST,64320,2022-07-12,51,1994-07-01,MILL AND OVERLAY W/FABRIC,28.0,1994.0,3 - Heavy Rehab,Arterial,1340,48,Overlay of asphalt over asphalt
735533066,['3'],735533,SHATTUCK AVE,066,WARD ST,ASHBY AVE,69460,2022-07-12,58,2008-11-24,MILL AND THICK OVERLAY,13.0,2008.0,3 - Heavy Rehab,Collector,1510,46,Overlay of asphalt over asphalt
739533070,"['3', '8']",739533,SHATTUCK AVE,070,ASHBY AVE,CITY LIMIT (WOOLSEY ST),55660,2022-07-12,51,2008-11-24,MILL AND THICK OVERLAY,13.0,2008.0,3 - Heavy Rehab,Collector,1210,46,Overlay of asphalt over asphalt
729533057,['4'],729533,SHATTUCK AVE (SB),057,UNIVERSITY AVE,CENTER ST,34320,2022-07-28,97,2020-06-11,RECONSTRUCT SURFACE (AC),2.0,2020.0,4 - Reconstruct,Arterial,660,52,Asphalt
517534030,['5'],517534,SHATTUCK PL,030,HENRY ST & ROSE ST,SHATTUCK AVE,32025,2022-07-14,23,1996-10-01,RECONSTRUCT STRUCTURE (AC),25.0,1996.0,4 - Reconstruct,Arterial,525,61,Asphalt
322536040,['1'],322536,SHORT ST,040,LINCOLN AVE,VIRGINIA ST,10800,2022-07-21,81,2008-08-28,MILL AND THICK OVERLAY,13.0,2008.0,3 - Heavy Rehab,Residential/Local,360,30,Overlay of asphalt over asphalt
322536045,['1'],322536,SHORT ST,045,NORTH END,HEARST ST,12420,2022-07-26,21,1998-08-10,MILL AND THICK OVERLAY,23.0,1998.0,3 - Heavy Rehab,Residential/Local,345,36,Overlay of asphalt over asphalt
213537020,['5'],213537,SIERRA ST,020,MADERA ST,SONOMA AVE,28200,2022-07-19,49,1993-07-01,RECONSTRUCT SURFACE (AC),29.0,1993.0,4 - Reconstruct,Residential/Local,940,30,Asphalt
933571065,['2'],933571,SOJOURNER TRUTH CT,065,WARD ST,CUL DE SAC,13200,2022-07-13,61,,,,,,Residential/Local,440,30,Asphalt
213544050,['5'],213544,SOLANO AVE,050,TULARE AVE,COLUSA AVE,43434,2022-07-19,79,2005-08-09,RECONSTRUCT STRUCTURE (AC),16.0,2005.0,4 - Reconstruct,Collector,762,57,Asphalt
213544055,['5'],213544,SOLANO AVE,055,COLUSA AVE,THE ALAMEDA,45360,2022-07-19,78,2005-08-09,RECONSTRUCT STRUCTURE (AC),16.0,2005.0,4 - Reconstruct,Collector,756,60,Asphalt
212544060,['5'],212544,SOLANO AVE,060,THE ALAMEDA,CONTRA COSTA AVE,21930,2022-07-19,70,2017-12-01,SLURRY SEAL,4.0,2017.0,0 - Light Maintenance,Collector,510,43,Overlay of asphalt over asphalt
112545060,['5'],112545,SOMERSET PL,060,SOUTHAMPTON AVE,DEAD END (JOHN HINKEL PARK),9350,2022-07-18,78,2017-12-01,SLURRY SEAL,4.0,2017.0,0 - Light Maintenance,Residential/Local,425,22,Asphalt
213546050,['5'],213546,SONOMA AVE,050,WEST CITY LIMIT (TULARE AVE),JOSEPHINE ST,71100,2022-07-19,74,2017-12-01,SLURRY SEAL,4.0,2017.0,0 - Light Maintenance,Residential/Local,1975,36,Overlay of asphalt over asphalt
739569075,['8'],739569,SOUTH HOSPITAL DRIVE,075,WEST END,REGENT ST,9000,2022-07-29,64,,,,,,Residential/Local,300,30,Overlay of asphalt over asphalt
112547060,['5'],112547,SOUTHAMPTON AVE,060,ARLINGTON AVE,SAN LUIS RD,49200,2022-07-18,79,2017-12-01,SLURRY SEAL,4.0,2017.0,0 - Light Maintenance,Residential/Local,2050,24,Asphalt
112547068,['5'],112547,SOUTHAMPTON AVE,068,SAN LUIS RD,SANTA BARBARA RD,9600,2022-07-19,70,2000-06-12,RECONSTRUCT SURFACE (AC),22.0,2000.0,4 - Reconstruct,Residential/Local,400,24,Asphalt
830548050,['4'],830548,SPAULDING AVE,050,ADDISON ST,DWIGHT WAY,128400,2022-07-27,31,1991-09-01,MILL AND OVERLAY W/FABRIC,30.0,1991.0,3 - Heavy Rehab,Residential/Local,2675,48,Overlay of asphalt over asphalt
320686010,['1'],320686,SPINNAKER WAY,010,BREAKWATER DR,MARINA BLVD,39000,2022-07-27,100,2022-03-09,FDR,0.0,2022.0,3 - Heavy Rehab,Residential/Local,1500,26,Asphalt
516549030,['6'],516549,SPRING WAY,030,DEAD END,SCENIC AVE,3960,2022-07-06,85,2010-06-30,RECONSTRUCT STRUCTURE (AC),12.0,2010.0,4 - Reconstruct,Residential/Local,220,18,Asphalt
111550010,"['5', '6']",111550,SPRUCE ST,010,GRIZZLY PEAK AVE,ALTA RD,28800,2022-07-07,70,2005-08-12,RECONSTRUCT STRUCTURE (AC),16.0,2005.0,4 - Reconstruct,Collector,800,36,Asphalt
111550015,"['5', '6']",111550,SPRUCE ST,015,ALTA RD,MARIN AVE,157500,2022-07-07,76,2005-08-12,RECONSTRUCT STRUCTURE (AC),16.0,2005.0,4 - Reconstruct,Collector,4375,36,Asphalt
115550020,"['5', '6']",115550,SPRUCE ST,020,MARIN AVE,ARCH ST,62568,2022-07-07,72,2005-08-12,RECONSTRUCT STRUCTURE (AC),16.0,2005.0,4 - Reconstruct,Collector,1738,36,Asphalt
115550025,"['5', '6']",115550,SPRUCE ST,025,ARCH ST,EUNICE ST,36260,2022-07-07,97,2021-11-30,MILL AND OVERLAY,0.0,2021.0,3 - Heavy Rehab,Collector,980,37,Asphalt over Portland cement
516550033,"['5', '6']",516550,SPRUCE ST,033,ROSE ST,VINE ST,23940,2022-07-07,69,2017-12-01,SLURRY SEAL,4.0,2017.0,0 - Light Maintenance,Residential/Local,665,36,Overlay of asphalt over asphalt
516550036,"['5', '6']",516550,SPRUCE ST,036,VINE ST,CEDAR ST,23760,2022-07-07,67,2016-06-15,SLURRY SEAL,6.0,2016.0,0 - Light Maintenance,Residential/Local,660,36,Overlay of asphalt over asphalt
525550040,['6'],525550,SPRUCE ST,040,CEDAR ST,VIRGINIA ST,24120,2022-07-27,87,2016-10-10,RECONSTRUCT,5.0,2016.0,4 - Reconstruct,Residential/Local,670,36,Asphalt
425550045,['6'],425550,SPRUCE ST,045,VIRGINIA ST,HEARST AVE,37440,2022-07-27,64,2016-06-15,SLURRY SEAL,6.0,2016.0,0 - Light Maintenance,Residential/Local,1040,36,Overlay of asphalt over asphalt
319551030,['1'],319551,STANNAGE AVE,030,NORTH CITY LIMIT,GILMAN ST,21000,2022-07-20,80,2004-08-31,RECONSTRUCT STRUCTURE (AC),17.0,2004.0,4 - Reconstruct,Residential/Local,700,30,Asphalt
319551034,['1'],319551,STANNAGE AVE,034,GILMAN ST,HOPKINS ST,50550,2022-07-20,77,2004-08-31,RECONSTRUCT STRUCTURE (AC),17.0,2004.0,4 - Reconstruct,Residential/Local,1685,30,Asphalt
319551038,['1'],319551,STANNAGE AVE,038,HOPKINS ST,CEDAR ST,6300,2022-07-20,57,2004-08-31,MILL AND THIN OVERLAY,17.0,2004.0,2 - Light Rehab,Residential/Local,210,30,Overlay of asphalt over asphalt
322551040,['1'],322551,STANNAGE AVE,040,CEDAR ST,VIRGINIA ST,19800,2022-07-20,82,2004-08-31,MILL AND THIN OVERLAY,17.0,2004.0,2 - Light Rehab,Residential/Local,660,30,Overlay of asphalt over asphalt
933552065,['2'],933552,STANTON ST,065,OREGON ST,RUSSELL ST,12840,2022-07-12,68,2000-06-16,RECONSTRUCT SURFACE (AC),22.0,2000.0,4 - Reconstruct,Residential/Local,428,30,Asphalt
933552067,['2'],933552,STANTON ST,067,RUSSELL ST,ASHBY AVE,14560,2022-07-12,70,2016-06-15,SLURRY SEAL,6.0,2016.0,0 - Light Maintenance,Residential/Local,560,26,Overlay of asphalt over asphalt
940552070,['2'],940552,STANTON ST,070,ASHBY AVE,PRINCE ST,18356,2022-07-12,68,2008-11-24,MILL AND THICK OVERLAY,13.0,2008.0,3 - Heavy Rehab,Residential/Local,706,26,Overlay of asphalt over asphalt
