DISTRICT,STREET ID,STREET NAME,SEC ID,BEG LOCATION,END LOCATION,FC,ST,Lns,L,W,"AREA (SqFt)",PCI DATE,PCI,"Last MnR Date",Last MnR Treatment
"7,8",627042,BANCROFT WAY,086,PROSPECT ST,PANORAMIC WAY,R,A,2,135,30,"4,050",07/29/2022,92,08/16/2019,RECONSTRUCT STRUCTURE (AC)
1,321043,BATAAN AVE,030,7TH ST,8TH ST,R,O,2,330,22,"7,260",07/26/2022,11,,
8,739044,BATEMAN ST,070,NORTH END,108 N/O PRINCE ST,R,A,2,475,18,"8,550",07/28/2022,81,12/18/2009,RECONSTRUCT STRUCTURE (AC)
8,739044,BATEMAN ST,080,108 N/O PRINCE ST,WOOLSEY ST,R,A,2,323,20,"6,460",07/28/2022,82,12/18/2009,RECONSTRUCT STRUCTURE (AC)
2,940544,BAY ST,010,ASHYBY AVE OVERPASS,POTTER ST,A,A,2,560,26,"14,560",07/14/2022,89,10/16/2015,RECONSTRUCT STRUCTURE (AC)
6,516047,BAY VIEW PL,070,SCENIC AVE,EUCLID AVE,R,A,2,800,30,"24,000",07/06/2022,74,06/30/2010,RECONSTRUCT STRUCTURE (AC)
8,637048,BELROSE AVE,060,DERBY ST,CLAREMONT BLVD/ GARBER ST,C,A,2,650,40,"26,000",07/29/2022,91,10/10/2016,RECONSTRUCT
1,319049,BELVEDERE AVE,035,ROSE ST,CEDAR ST,R,O,2,350,30,"10,500",07/19/2022,44,11/29/2010,MILL AND THICK OVERLAY
1,322049,BELVEDERE AVE,040,CEDAR ST,VIRGINIA ST,R,O,2,660,30,"19,800",07/19/2022,64,08/29/2008,MILL AND THICK OVERLAY
8,636050,BENVENUE AVE,060,DWIGHT WAY,RUSSELL ST,R,O,2,"2,660",36,"95,760",07/28/2022,30,12/08/1998,MILL AND OVERLAY W/FABRIC
8,636050,BENVENUE AVE,065,RUSSELL ST,ASHBY AVE,R,O,2,530,36,"19,080",07/28/2022,36,12/08/1998,MILL AND OVERLAY W/FABRIC
8,639050,BENVENUE AVE,070,ASHBY AVE,CITY LIMIT (WOOLSEY ST),R,O,2,"1,165",36,"41,940",07/28/2022,45,,
1,322052,BERKELEY WAY,045,CHESTNUT ST,WEST ST PATHWAY,R,O,2,435,24,"10,440",07/21/2022,42,08/10/1998,MILL AND OVERLAY W/FABRIC
1,322052,BERKELEY WAY,046,WEST ST PATHWAY,SACRAMENTO ST,R,O,2,"1,320",30,"39,600",07/21/2022,19,08/10/1998,MILL AND OVERLAY W/FABRIC
1,423052,BERKELEY WAY,050,SACRAMENTO ST,GRANT ST,R,O,2,"1,920",32,"61,440",07/21/2022,39,07/11/1997,MILL AND OVERLAY W/FABRIC
1,423052,BERKELEY WAY,058,GRANT ST,MARTIN LUTHER KING JR WAY,R,A,2,670,36,"24,120",07/21/2022,48,12/15/2004,RECONSTRUCT SURFACE (AC)
4,424052,BERKELEY WAY,060,MARTIN LUTHER KING JR WAY,MILVIA ST,R,O,2,700,34,"23,800",07/27/2022,60,06/15/2016,SLURRY SEAL
4,524052,BERKELEY WAY,063,MILVIA ST,SHATTUCK AVE,R,O,2,645,40,"25,800",07/27/2022,70,06/15/2016,SLURRY SEAL
4,524052,BERKELEY WAY,065,SHATTUCK AVE,OXFORD ST,R,O,2,740,47,"34,780",07/27/2022,72,10/02/2012,MILL AND THICK OVERLAY
5,418054,BERRYMAN ST,055,WEST END,MARTIN LUTHER KING JR WAY,R,O,2,495,36,"17,820",07/14/2022,74,12/01/2017,SLURRY SEAL
5,417054,BERRYMAN ST,060,MARTIN LUTHER KING JR WAY,MILVIA ST,R,O,2,640,36,"23,040",07/14/2022,76,12/01/2017,SLURRY SEAL
5,517054,BERRYMAN ST,063,MILVIA ST,HENRY ST,R,A,2,303,36,"10,908",07/14/2022,51,,
5,517054,BERRYMAN ST,064,HENRY ST,SHATTUCK AVE,R,A,2,367,36,"13,212",07/14/2022,71,,
5,213055,BEVERLY PL,050,WEST CITY LIMIT COP W/O MONTEREY ST,HOPKINS ST,R,O,2,"1,830",36,"65,880",07/19/2022,67,12/01/1989,MILL AND OVERLAY W/FABRIC
2,933057,BLAKE ST,042,SAN PABLO AVE,MABEL ST,R,O,2,"1,112",36,"40,032",07/13/2022,96,04/20/2021,MILL AND OVERLAY
2,933057,BLAKE ST,044,MABEL ST,SACRAMENTO ST,R,O,2,"1,330",36,"47,880",07/13/2022,15,10/01/1992,MILL AND OVERLAY W/FABRIC
"3,4",834057,BLAKE ST,055,MC GEE AVE,MARTIN LUTHER KING JR WAY,R,A,2,"1,280",36,"46,080",07/08/2022,19,07/01/1993,RECONSTRUCT SURFACE (AC)
"3,4",835057,BLAKE ST,060,MARTIN LUTHER KING JR WAY,MILVIA ST,R,O,2,665,48,"31,920",07/08/2022,19,08/15/1997,MILL AND THICK OVERLAY
"3,4",735057,BLAKE ST,063,MILVIA ST,SHATTUCK AVE,R,O,2,688,48,"33,024",07/08/2022,19,08/15/1997,MILL AND THICK OVERLAY
"3,4",735557,BLAKE ST,065,SHATTUCK AVE,FULTON ST,R,A,2,575,36,"20,700",07/08/2022,43,,
"3,7",736057,BLAKE ST,070,FULTON ST,TELEGRAPH AVE,R,O,2,"1,910",36,"68,760",07/08/2022,20,08/13/1997,MILL AND THICK OVERLAY
2,940058,BOISE ST,075,66TH ST,HARMON ST,R,O,2,505,36,"18,180",07/12/2022,63,11/01/1988,THIN OVERLAY w/FABRIC
2,931061,BONAR ST,051,UNIVERSITY AVE,ADDISON ST,R,O,2,314,36,"11,304",07/13/2022,93,10/11/2019,MILL AND THICK OVERLAY
2,931061,BONAR ST,053,ADDISON ST,ALLSTON WAY,R,A,2,670,36,"24,120",07/13/2022,93,10/11/2019,RECONSTRUCT STRUCTURE (AC)
2,931061,BONAR ST,055,ALLSTON WAY,DWIGHT WAY,R,A,2,"1,982",36,"71,352",07/13/2022,93,10/11/2019,RECONSTRUCT SURFACE (AC)
5,417062,BONITA AVE,030,YOLO AVE,BERRYMAN ST,R,O,2,745,30,"22,350",07/14/2022,76,06/30/2010,MILL AND THIN OVERLAY
5,417062,BONITA AVE,032,BERRYMAN ST,ROSE ST,R,O,2,665,36,"23,940",07/14/2022,78,06/30/2010,MILL AND THIN OVERLAY
5,417062,BONITA AVE,034,ROSE ST,VINE ST,R,O,2,660,36,"23,760",07/14/2022,26,06/01/1995,MILL AND OVERLAY W/FABRIC
5,417062,BONITA AVE,036,VINE ST,CEDAR ST,R,O,2,655,36,"23,580",07/14/2022,74,06/30/2010,MILL AND THIN OVERLAY
4,424062,BONITA AVE,040,CEDAR ST,VIRGINIA ST,R,O,2,670,36,"24,120",07/21/2022,18,06/01/1995,MILL AND OVERLAY W/FABRIC
4,424062,BONITA AVE,045,UNIVERSITY AVE,NORTH END,R,O,2,210,36,"7,560",07/27/2022,81,06/30/2010,MILL AND THIN OVERLAY
4,424062,BONITA AVE,050,BERKELEY WAY,NORTH OF HEARST,R,O,2,475,36,"17,100",07/27/2022,87,,
4,424062,BONITA AVE,055,DELAWARE ST,SOUTH END,R,O,2,180,36,"6,480",07/26/2022,68,,
6,111063,BONNIE LANE,010,HILLDALE AVE,MARIN AVE,R,A,2,750,21,"15,750",07/07/2022,56,06/06/2000,RECONSTRUCT STRUCTURE (AC)
7,728064,BOWDITCH ST,050,BANCROFT WAY,DURANT AVE,R,O,2,330,36,"11,880",07/28/2022,14,11/01/1990,MILL AND THIN OVERLAY
7,728064,BOWDITCH ST,052,DURANT AVE,HASTE ST,R,O,2,660,36,"23,760",07/28/2022,17,11/01/1990,MILL AND THIN OVERLAY
7,728064,BOWDITCH ST,056,HASTE ST,DWIGHT WAY,R,O,2,330,36,"11,880",07/28/2022,40,07/01/1988,MILL AND OVERLAY W/FABRIC
5,112065,BOYNTON AVE,015,COLORADO AVE,FLORIDA AVE,R,A,2,280,26,"7,280",07/18/2022,53,07/01/1993,RECONSTRUCT STRUCTURE (AC)
5,112065,BOYNTON AVE (NB),010,ARLINGTON AVE,COLORADO AVE,R,A,2,"1,540",16,"24,640",07/18/2022,42,07/01/1993,RECONSTRUCT STRUCTURE (AC)
5,112065,BOYNTON AVE (SB),011,COLORADO AVE,ARLINGTON AVE,R,A,2,"1,540",16,"24,640",07/18/2022,38,,
6,115068,BRET HARTE RD,070,KEITH AVE,CREGMONT AVE,R,A,2,300,21,"6,300",07/08/2022,60,12/01/2017,SLURRY SEAL
6,115068,BRET HARTE RD,075,CRAGMONT AVE,KEELER AVE,R,A,2,750,22,"16,500",07/08/2022,73,12/01/2017,SLURRY SEAL
8,638590,BRIDGE RD,070,ALVARADO RD,TUNNEL RD,R,A,2,450,24,"10,800",07/20/2022,92,11/04/2015,RECONSTRUCT
8,638070,BROOKSIDE AVE,080,CLAREMONT AVE,DEAD END (CLAREMONT AVE),R,A,2,425,26,"11,050",07/20/2022,94,11/04/2015,RECONSTRUCT
8,638071,BROOKSIDE CT,070,DEAD END NR BROOKSIDE DR,BROOKSIDE DR,R,O,2,110,24,"2,640",07/20/2022,94,11/03/2015,OVERLAY
8,638072,BROOKSIDE DR,070,CLAREMONT AVE (N),CLAREMONT AVE (S),R,O,2,535,24,"12,840",07/20/2022,94,11/03/2015,OVERLAY
2,931073,BROWNING ST,052,ADDISON ST,ALLSTON WAY,R,A,2,660,36,"23,760",09/12/2022,100,09/12/2022,RECONSTRUCT SURFACE (AC)
2,931073,BROWNING ST,054,ALLSTON WAY,DWIGHT WAY,R,A,2,"1,990",36,"71,640",09/12/2022,100,09/12/2022,RECONSTRUCT STRUCTURE (AC)
5,418074,BUENA AVE,050,WEST DEAD END (HOLLY ST),MCGEE AVE,R,A,2,904,37,"33,448",07/19/2022,91,11/03/2015,FDR
6,516075,BUENA VISTA WAY,070,EUCLID AVE,DEL MAR AVE,R,O,2,"3,775",30,"113,250",07/07/2022,25,06/01/1994,MILL AND OVERLAY W/FABRIC
6,516075,BUENA VISTA WAY,074,DELMAR AVE,260' NORTH OF PRIVATE PROP,R,O,2,470,22,"10,340",07/07/2022,9,,
6,516075,BUENA VISTA WAY,078,260' NORTH OF PRIVATE PROP,PRIVATE PROPERTY,R,O,2,260,14,"3,640",07/07/2022,8,12/10/1998,THIN AC OVERLAY(1.5 INCHES)
2,933076,BURNETT ST,040,SAN PABLO AVE,MABEL ST,R,O,2,874,36,"31,464",07/12/2022,22,11/01/1988,SLURRY SEAL
2,933076,BURNETT ST,042,MABEL ST,ACTON ST,R,O,2,704,36,"25,344",07/12/2022,73,09/20/2019,SLURRY SEAL
2,931077,BYRON ST,050,ADDISON ST,BANCROFT WAY,R,O,2,"1,320",36,"47,520",07/13/2022,80,09/20/2019,SLURRY SEAL
2,931077,BYRON ST,055,CHANNING WAY,DWIGHT WAY,R,O,2,660,30,"19,800",07/13/2022,15,10/01/1992,MILL AND OVERLAY W/FABRIC
5,418090,CALIFORNIA ST,020,HOPKINS ST,ADA ST,R,A,2,345,40,"13,800",07/18/2022,78,11/06/2003,RECONSTRUCT SURFACE (AC)
5,418090,CALIFORNIA ST,030,ADA ST,CEDAR ST,R,A,2,"1,405",45,"63,225",07/21/2022,61,11/06/2003,RECONSTRUCT SURFACE (AC)
1,423090,CALIFORNIA ST,040,CEDAR ST,OHLONE PARK,R,O,2,"1,455",42,"61,110",07/21/2022,52,07/21/1997,MILL AND THICK OVERLAY
1,423090,CALIFORNIA ST,045,HEARST AVE,UNIVERSITY AVE,R,O,2,600,42,"25,200",07/21/2022,36,07/11/1997,MILL AND THICK OVERLAY
4,830090,CALIFORNIA ST,050,UNIVERSITY AVE,DWIGHT WAY,R,O,2,"3,015",48,"144,720",07/12/2022,70,06/15/2016,SLURRY SEAL
3,834090,CALIFORNIA ST,060,DWIGHT WAY,OREGON ST,R,A,2,"2,270",42,"95,340",07/12/2022,77,05/10/2011,RECONSTRUCT SURFACE (AC)
3,834090,CALIFORNIA ST,066,OREGON ST,ASHBY AVE,R,O,2,950,42,"39,900",07/12/2022,34,10/01/1994,MILL AND OVERLAY W/FABRIC
3,840090,CALIFORNIA ST,072,ASHBY AVE,ALCATRAZ AVE,R,A,2,"2,000",42,"84,000",07/12/2022,75,07/31/2002,RECONSTRUCT STRUCTURE (AC)
3,840090,CALIFORNIA ST,076,ALCATRAZ AVE,SOUTH CITY LIMIT,R,A,2,840,42,"35,280",07/12/2022,71,07/31/2002,RECONSTRUCT SURFACE (AC)
1,320091,CAMELIA ST,020,2ND ST,3RD ST (RR TRACKS),R,A,2,345,35,"12,075",07/21/2022,15,04/01/2001,RECONSTRUCT SURFACE (AC)
1,320091,CAMELIA ST,024,3RD ST (RR TRACKS),4TH ST,R,A,2,330,36,"11,880",07/21/2022,15,04/01/2001,RECONSTRUCT SURFACE (AC)
1,320091,CAMELIA ST,026,4TH ST,6TH ST,R,A,2,637,36,"22,932",07/21/2022,46,04/01/2001,RECONSTRUCT STRUCTURE (AC)
1,320091,CAMELIA ST,030,6TH ST,8TH ST,R,A,2,620,36,"22,320",07/21/2022,24,04/01/2001,RECONSTRUCT SURFACE (AC)
1,320091,CAMELIA ST,034,8TH ST,SAN PABLO AVE,R,A,2,"1,030",36,"37,080",07/21/2022,13,04/01/2001,RECONSTRUCT SURFACE (AC)
1,319091,CAMELIA ST,040,SAN PABLO AVE,SANTA FE AVE,R,A,2,"1,050",36,"37,800",07/21/2022,83,08/31/2004,RECONSTRUCT STRUCTURE (AC)
6,516092,CAMPUS DR,030,SHASTA RD,QUAIL AVE,R,O,2,370,22,"8,140",07/06/2022,38,06/01/1995,MILL AND OVERLAY W/FABRIC
6,516092,CAMPUS DR,032,QUAIL AVE,GLENDALE AVE,R,A,2,450,24,"10,800",07/06/2022,43,07/31/1994,RECONSTRUCT STRUCTURE (AC)
6,516092,CAMPUS DR,033,GLENDALE AVE,DELMAR AVE,R,O,2,"1,090",24,"26,160",07/06/2022,74,12/01/2017,SLURRY SEAL
6,516092,CAMPUS DR,035,DELMAR AVE,AVENIDA DRIVE,R,A,2,525,22,"11,550",07/06/2022,80,12/01/2017,SLURRY SEAL
6,516092,CAMPUS DR,036,AVENIDA DR,PARNASSUS RD,R,A,2,540,24,"12,960",07/06/2022,87,10/10/2016,RECONSTRUCT
6,516092,CAMPUS DR,037,PARNASSUS RD,"DEAD END, U C PLOT 82",R,A,2,760,19,"14,440",07/06/2022,87,10/10/2016,RECONSTRUCT
"7,8",627093,CANYON RD,080,PANORAMIC WAY,RIM ROAD (UC CAMPUS),R,A,2,275,30,"8,250",07/28/2022,92,08/16/2019,RECONSTRUCT STRUCTURE (AC)
8,627093,CANYON RD,085,RIM ROAD (UC CAMPUS),DEAD END,R,A,2,583,15,"8,745",07/28/2022,91,08/16/2019,RECONSTRUCT STRUCTURE (AC)
5,213094,CAPISTRANO AVE,050,PERALTA AVE,THE ALAMEDA,R,A,2,"2,645",26,"68,770",07/19/2022,45,08/01/1996,RECONSTRUCT STRUCTURE (AC)
5,212094,CAPISTRANO AVE,060,THE ALAMEDA,CONTRA COSTA AVE,R,A,2,340,19,"6,460",07/19/2022,68,,
2,920095,CARLETON ST,040,5TH ST,7TH ST,R,A,2,615,36,"22,140",07/12/2022,73,07/29/2000,RECONSTRUCT STRUCTURE (AC)
2,933095,CARLETON ST,042,MATHEWS ST,SACRAMENTO ST,R,O,2,"1,912",36,"68,832",07/12/2022,25,09/01/1991,MILL AND OVERLAY W/FABRIC
3,834095,CARLETON ST,050,SACRAMENTO ST,MARTIN LUTHER KING JR WAY,R,O,2,"2,540",36,"91,440",07/11/2022,29,11/01/1990,MILL AND THIN OVERLAY
2,920095,CARLETON ST,050,7TH ST,SAN PABLO AVE,R,A,2,"1,330",36,"47,880",07/12/2022,30,06/14/2000,RECONSTRUCT SURFACE (AC)
3,835095,CARLETON ST,060,MARTIN LUTHER KING JR WAY,MILVIA ST,R,O,2,665,42,"27,930",07/11/2022,21,11/01/1990,THIN AC OVERLAY(1.5 INCHES)
3,735095,CARLETON ST,063,MILVIA ST,SHATTUCK AVE,R,A,2,675,42,"28,350",07/11/2022,56,12/01/1989,RECONSTRUCT SURFACE (AC)
3,735595,CARLETON ST,065,SHATTUCK AVE,FULTON ST,R,A,2,622,36,"22,392",07/11/2022,54,,
3,736095,CARLETON ST,070,FULTON ST,TELEGRAPH AVE,R,A,2,"1,720",36,"61,920",07/28/2022,15,08/01/1993,RECONSTRUCT SURFACE (AC)
8,736095,CARLETON ST,078,TELEGRAPH AVE,DEAD END ABOVE TELEGRAPH AVE,R,A,2,160,27,"4,320",07/28/2022,27,07/31/2002,RECONSTRUCT SURFACE (AC)
5,213096,CARLOTTA AVE,020,POSEN AVE,HOPKINS ST,R,O,2,865,36,"31,140",07/18/2022,71,12/01/1989,MILL AND OVERLAY W/FABRIC
5,418096,CARLOTTA AVE,030,HOPKINS ST,ROSE ST,R,O,2,880,30,"26,400",07/18/2022,68,08/25/2008,MILL AND THICK OVERLAY
2,940097,CARRISON ST,040,SAN PABLO AVE,ACTON ST,R,A,2,"1,528",36,"55,008",07/12/2022,71,07/31/2006,RECONSTRUCT STRUCTURE (AC)
5,213098,CATALINA AVE,050,COLUSA AVE,THE ALAMEDA,R,A,2,980,27,"26,460",07/19/2022,93,10/11/2019,RECONSTRUCT STRUCTURE (AC)
1,319099,CATHERINE DR,030,KEONCREST DR (N),KEONCREST DR (S),R,O,2,410,25,"10,250",07/26/2022,20,08/10/1998,MILL AND THICK OVERLAY
1,320100,CEDAR ST,020,EAST FRONTAGE RD (STATE P/L),4TH ST,A,O,2,925,36,"33,300",07/26/2022,22,08/01/1993,MILL AND OVERLAY W/FABRIC
1,320100,CEDAR ST,025,4TH ST,6TH ST,A,O,2,670,43,"28,810",07/26/2022,37,08/01/1993,MILL AND OVERLAY W/FABRIC
1,321100,CEDAR ST,030,6TH ST,SAN PABLO AVE,C,O,2,"1,650",37,"61,050",07/26/2022,98,10/22/2020,MILL AND OVERLAY
1,319100,CEDAR ST,040,SAN PABLO AVE,CHESTNUT ST,C,O,2,"1,485",37,"54,945",07/26/2022,89,11/19/2015,MILL AND OVERLAY
1,319100,CEDAR ST,045,CHESTNUT ST,ACTON ST,C,O,2,"1,140",37,"42,180",07/26/2022,88,11/19/2015,MILL AND OVERLAY
1,319100,CEDAR ST,049,ACTON ST,SACRAMENTO ST,C,O,2,665,34,"22,610",07/26/2022,89,11/19/2015,MILL AND OVERLAY
"1,5",418100,CEDAR ST,050,SACRAMENTO ST,MARTIN LUTHER KING JR WAY,C,O,2,"2,600",40,"104,000",07/26/2022,24,10/01/1994,MILL AND OVERLAY W/FABRIC
"4,5",417100,CEDAR ST,060,MARTIN LUTHER KING JR WAY,MILVIA ST,C,A,2,665,36,"23,940",07/26/2022,88,07/25/2014,RECONSTRUCT STRUCTURE (AC)
"4,5",517100,CEDAR ST,063,MILVIA ST,SHATTUCK AVE,C,A,2,660,36,"23,760",07/26/2022,87,07/25/2014,RECONSTRUCT STRUCTURE (AC)
"4,5",517100,CEDAR ST,064,SHATTUCK AVE,OXFORD ST,C,A,2,635,38,"24,130",07/14/2022,89,07/25/2014,RECONSTRUCT STRUCTURE (AC)
"5,6",517100,CEDAR ST,065,OXFORD ST,SPRUCE ST,C,O,2,335,36,"12,060",07/14/2022,80,07/25/2014,MILL AND OVERLAY
6,516100,CEDAR ST,070,SPRUCE ST,EUCLID AVE,C,O,2,"1,380",35,"48,300",07/06/2022,67,06/15/2016,SLURRY SEAL
6,516100,CEDAR ST,075,EUCLID AVE,LA LOMA AVE,C,O,2,920,34,"31,280",07/06/2022,73,06/15/2016,SLURRY SEAL
6,516100,CEDAR ST,078,END W/O LA VEREDA,LA VEREDA RD,R,A,2,105,12,"1,260",07/06/2022,19,,
4,829102,CENTER ST,060,MARTIN LUTHER KING JR WAY,MILVIA ST,R,O,2,670,53,"35,510",07/27/2022,95,10/21/2020,MILL AND THICK OVERLAY
4,729102,CENTER ST,062,MILVIA ST,SHATTUCK AVE,R,O,2,730,47,"34,310",07/27/2022,95,10/21/2020,MILL AND THICK OVERLAY
4,729102,CENTER ST,064,SHATTUCK AVE,OXFORD ST,R,O,2,620,47,"29,140",07/27/2022,71,04/13/2015,MILL AND OVERLAY
8,638103,CHABOLYN TERRACE,080,SOUTH CITY LIMIT,SOUTH CITY LIMIT,R,A,2,420,26,"10,920",07/28/2022,84,11/04/2015,RECONSTRUCT
2,920104,CHANNING WAY,020,3RD ST,6TH ST,R,A,2,935,36,"33,660",07/13/2022,81,05/09/2011,RECONSTRUCT SURFACE (AC)
2,932104,CHANNING WAY,030,6TH ST,10TH ST,R,A,2,"1,397",36,"50,292",07/13/2022,60,05/09/2011,RECONSTRUCT SURFACE (AC)
2,931104,CHANNING WAY,040,SAN PABLO AVE,SACRAMENTO ST,R,O,2,"2,775",36,"99,900",07/13/2022,44,09/02/2008,MILL AND THICK OVERLAY
4,830104,CHANNING WAY,050,SACRAMENTO ST,ROOSEVELT AVE,R,O,2,"1,620",36,"58,320",07/27/2022,34,05/01/1995,THIN AC OVERLAY(1.5 INCHES)
4,830104,CHANNING WAY,056,ROOSEVELT AVE,MC KINLEY AVE,R,O,2,639,36,"23,004",07/27/2022,13,09/01/1991,MILL AND OVERLAY W/FABRIC
4,830104,CHANNING WAY,058,MC KINLEY AVE,MARTIN LUTHER KING JR WAY,R,A,2,361,36,"12,996",07/27/2022,99,11/30/2021,RECONSTRUCT STRUCTURE (AC)
4,829104,CHANNING WAY,060,MARTIN LUTHER KING JR WAY,MILVIA ST,R,A,2,670,36,"24,120",07/27/2022,99,11/30/2021,RECONSTRUCT STRUCTURE (AC)
4,729104,CHANNING WAY,063,MILVIA ST,SHATTUCK AVE,R,O,2,710,36,"25,560",07/27/2022,99,11/30/2021,MILL AND THICK OVERLAY
4,729104,CHANNING WAY,066,SHATTUCK AVE,FULTON ST,R,O,2,560,36,"20,160",07/27/2022,87,08/07/2015,MILL AND OVERLAY
"4,7",728104,CHANNING WAY,070,FULTON ST,DANA ST,R,O,2,"1,340",36,"48,240",07/27/2022,87,08/07/2015,MILL AND OVERLAY
7,728104,CHANNING WAY,075,DANA ST,BOWDITCH ST,R,O,2,"1,340",40,"53,600",07/27/2022,78,08/07/2015,MILL AND OVERLAY
7,628104,CHANNING WAY,078,BOWDITCH ST,COLLEGE AVE,R,O,2,670,37,"24,790",07/27/2022,76,08/07/2015,MILL AND OVERLAY
7,627104,CHANNING WAY,080,COLLEGE AVE,PIEDMONT AVE,R,O,2,630,36,"22,680",07/27/2022,72,08/07/2015,MILL AND OVERLAY
7,627104,CHANNING WAY,084,PIEDMONT AVE,PROSPECT ST,R,O,2,630,36,"22,680",07/27/2022,27,08/01/1993,MILL AND OVERLAY W/FABRIC
2,931105,CHAUCER ST,040,SAN PABLO AVE,CURTIS ST,R,O,2,550,30,"16,500",07/13/2022,18,08/15/1997,MILL AND THICK OVERLAY
8,637106,CHERRY ST,065,STUART ST,RUSSELL ST,R,A,2,500,36,"18,000",07/28/2022,79,07/28/2003,RECONSTRUCT SURFACE (AC)
1,319108,CHESTNUT ST,035,ROSE ST,CEDAR ST,R,O,2,350,34,"11,900",07/19/2022,14,10/01/1992,MILL AND OVERLAY W/FABRIC
1,322108,CHESTNUT ST,042,CEDAR ST,VIRGINIA ST,R,O,2,650,36,"23,400",07/19/2022,36,10/01/1994,MILL AND OVERLAY W/FABRIC
1,322108,CHESTNUT ST,044,VIRGINIA ST,UNIVERSITY AVE,R,O,2,"1,620",36,"58,320",07/19/2022,24,08/10/1998,MILL AND OVERLAY W/FABRIC
3,736109,CHILTON WAY,060,BLAKE ST,PARKER ST,R,O,2,335,30,"10,050",07/29/2022,24,08/08/1997,MILL AND OVERLAY W/FABRIC
8,637110,CLAREMONT AVE,060,EAST CITY LIMIT NR GARBER RD,RUSSELL AVE,C,O,2,600,38,"22,800",07/29/2022,21,07/01/1994,MILL AND OVERLAY W/FABRIC
8,637110,CLAREMONT AVE,065,RUSSELL ST,ASHBY AVE,C,O,2,425,56,"23,800",07/29/2022,18,,
8,638110,CLAREMONT AVE,070,ASHBY AVE,SOUTH CITY LIMIT (ALCATRAZ),C,O,4,"2,985",56,"167,160",07/29/2022,53,07/01/1994,MILL AND OVERLAY W/FABRIC
8,637111,CLAREMONT BLVD,060,DERBY ST,CUL-DE-SAC,R,O,2,560,40,"22,400",07/29/2022,27,08/01/1996,MILL AND OVERLAY W/FABRIC
8,637111,CLAREMONT BLVD,065,BELROSE AVE,CLAREMONT AVE,C,A,2,875,37,"32,375",07/29/2022,91,10/10/2016,RECONSTRUCT
8,638112,CLAREMONT CRESCENT,070,CLAREMONT AVE,ASHBY AVE,R,O,2,410,24,"9,840",07/20/2022,87,12/15/2011,MILL AND THICK OVERLAY
6,516113,CODORNICES RD,030,DEAD END (EUCLID AVE),EUCLID AVE,R,A,2,600,15,"9,000",07/07/2022,71,10/10/2016,RECONSTRUCT
8,739114,COLBY ST,070,ASHBY AVE,WEBSTER ST,R,P,2,299,36,"10,764",07/28/2022,51,,
8,739114,COLBY ST,080,WEBSTER ST,END,R,A,2,385,32,"12,320",07/28/2022,75,,
7,627115,COLLEGE AVE,050,BANCROFT WAY,DWIGHT WAY,C,O,2,"1,340",36,"48,240",07/28/2022,85,08/07/2015,MILL AND OVERLAY
8,637115,COLLEGE AVE,060,DWIGHT WAY,DERBY ST (S),A,A,2,"1,430",36,"51,480",07/28/2022,35,08/23/2000,RECONSTRUCT STRUCTURE (AC)
8,637115,COLLEGE AVE,065,DERBY ST (S),ASHBY AVE,A,A,2,"1,785",36,"64,260",07/28/2022,39,08/23/2000,RECONSTRUCT STRUCTURE (AC)
8,638115,COLLEGE AVE,070,ASHBY AVE,SOUTH CITY LIMIT (ALCATRAZ),A,A,2,"2,155",36,"77,580",07/28/2022,36,08/23/2000,RECONSTRUCT STRUCTURE (AC)
5,112116,COLORADO AVE,060,BOYNTON AVE,VERMONT AVE,R,A,2,250,24,"6,000",07/29/2022,54,07/01/1993,RECONSTRUCT STRUCTURE (AC)
5,112116,COLORADO AVE,065,VERMONT AVE,MICHIGAN AVE,R,A,2,260,24,"6,240",07/18/2022,52,07/01/1993,RECONSTRUCT SURFACE (AC)
5,213119,COLUSA AVE,010,NORTH CITY LIMIT (N/O VISALIA),SOLANO AVE,C,O,2,"3,565",36,"128,340",09/30/2022,100,09/30/2022,MILL AND THICK OVERLAY
5,213119,COLUSA AVE,020,SOLANO AVE,MARIN AVE,C,A,2,670,46,"30,820",07/19/2022,68,12/01/1989,RECONSTRUCT STRUCTURE (AC)
5,213119,COLUSA AVE,022,MARIN AVE,MONTEREY AVE,C,O,2,870,46,"40,020",07/19/2022,51,11/01/1986,MILL AND THIN OVERLAY
5,213119,COLUSA AVE,025,MONTEREY AVE,POSEN AVE,C,O,2,"1,233",36,"44,388",07/19/2022,20,11/01/1990,MILL AND OVERLAY W/FABRIC
5,213119,COLUSA AVE,026,POSEN AVE,HOPKINS ST,C,O,2,520,36,"18,720",07/19/2022,25,,
5,418120,COMSTOCK CT,035,JAYNES ST,CEDAR ST,R,A,2,300,24,"7,200",07/19/2022,77,05/18/2016,RECONSTRUCT SURFACE (AC)
5,212121,CONTRA COSTA AVE,010,YOSEMITE RD,SOLANO AVE,R,O,2,"2,375",20,"47,500",07/18/2022,86,07/09/2014,MILL AND OVERLAY
5,212121,CONTRA COSTA AVE,018,SOLANO AVE,LOS ANGELES AVE,R,O,2,185,25,"4,625",07/18/2022,92,11/30/2017,MILL AND THICK OVERLAY
1,319122,CORNELL AVE,030,NORTH CITY LIMIT,GILMAN ST,R,O,2,765,30,"22,950",07/20/2022,40,11/01/1986,MILL AND OVERLAY W/FABRIC
